customer,supplier,channel,x_var,y_var,status,lag_q,pearson,spearman,p_value,n,significant
CPU,OSAT/Packaging,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,3.0,0.442,0.446,0.0185,28.0,True
CPU,OSAT/Packaging,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,3.0,0.358,0.276,0.0793,25.0,False
Hyperscaler,Server Networking,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.786,0.039,0.0,33.0,True
Hyperscaler,Server Networking,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.635,-0.001,0.0002,30.0,True
Hyperscaler,Server Networking,지급→회수,DPO,DSO,ok,4.0,0.65,0.693,0.0001,30.0,True
Hyperscaler,Server Networking,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,1.0,0.51,0.46,0.0024,33.0,True
Hyperscaler,Server Networking,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.489,0.404,0.0045,32.0,True
Hyperscaler,Server Networking,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.371,0.261,0.0479,29.0,True
Hyperscaler,Server Networking,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.747,-0.105,0.0,32.0,True
Hyperscaler,Server Networking,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,0.0,0.672,-0.051,0.0001,29.0,True
Hyperscaler,Server Networking,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,4.0,0.124,0.014,0.514,30.0,False
Hyperscaler,Server Networking,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,1.0,-0.073,0.038,0.7063,29.0,False
Hyperscaler,Server Networking,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,1.0,0.197,0.296,0.2801,32.0,False
Hyperscaler,Server Networking,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.789,0.242,0.0,33.0,True
Hyperscaler,Server Networking,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.266,-0.182,0.156,30.0,False
Server OEM,Server Networking,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.788,0.055,0.0,34.0,True
Server OEM,Server Networking,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.641,-0.258,0.0001,31.0,True
Server OEM,Server Networking,지급→회수,DPO,DSO,ok,3.0,0.014,-0.286,0.9392,31.0,False
Server OEM,Server Networking,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,3.0,-0.328,-0.291,0.0664,32.0,False
Server OEM,Server Networking,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.829,0.275,0.0,34.0,True
Server OEM,Server Networking,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.746,0.288,0.0,30.0,True
Server OEM,Server Networking,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server OEM,Server Networking,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,0.0,0.612,0.429,0.1068,8.0,False
Server OEM,Server Networking,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,3.0,0.58,0.066,0.0006,31.0,True
Server OEM,Server Networking,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.435,-0.177,0.0144,31.0,True
Server OEM,Server Networking,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,3.0,0.357,0.282,0.2816,11.0,False
Server OEM,Server Networking,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.796,0.225,0.0,34.0,True
Server OEM,Server Networking,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.656,0.108,0.0001,31.0,True
AI Chip,Foundry,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Foundry,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Foundry,지급→회수,DPO,DSO,insufficient data,,,,,,
AI Chip,Foundry,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
AI Chip,Foundry,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Foundry,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Foundry,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Foundry,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
AI Chip,Foundry,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Foundry,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Foundry,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Foundry,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Foundry,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Foundry,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Foundry,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Foundry,지급→회수,DPO,DSO,insufficient data,,,,,,
CPU,Foundry,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
CPU,Foundry,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Foundry,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Foundry,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Foundry,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
CPU,Foundry,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Foundry,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Foundry,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Foundry,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Foundry,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
Server Networking,Foundry,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server Networking,Foundry,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
Server Networking,Foundry,지급→회수,DPO,DSO,insufficient data,,,,,,
Server Networking,Foundry,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
Server Networking,Foundry,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server Networking,Foundry,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
Server Networking,Foundry,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server Networking,Foundry,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
Server Networking,Foundry,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server Networking,Foundry,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
Server Networking,Foundry,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server Networking,Foundry,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server Networking,Foundry,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Server ODM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Server ODM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Server ODM,지급→회수,DPO,DSO,insufficient data,,,,,,
CPU,Server ODM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
CPU,Server ODM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Server ODM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Server ODM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Server ODM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
CPU,Server ODM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Server ODM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
CPU,Server ODM,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Server ODM,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
CPU,Server ODM,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
DRAM,Server ODM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
DRAM,Server ODM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
DRAM,Server ODM,지급→회수,DPO,DSO,insufficient data,,,,,,
DRAM,Server ODM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
DRAM,Server ODM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
DRAM,Server ODM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
DRAM,Server ODM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
DRAM,Server ODM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
DRAM,Server ODM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
DRAM,Server ODM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
DRAM,Server ODM,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
DRAM,Server ODM,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
DRAM,Server ODM,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
NAND,Server ODM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
NAND,Server ODM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
NAND,Server ODM,지급→회수,DPO,DSO,insufficient data,,,,,,
NAND,Server ODM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
NAND,Server ODM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
NAND,Server ODM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
NAND,Server ODM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
NAND,Server ODM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
NAND,Server ODM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
NAND,Server ODM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
NAND,Server ODM,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
NAND,Server ODM,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
NAND,Server ODM,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Server ODM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Server ODM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Server ODM,지급→회수,DPO,DSO,insufficient data,,,,,,
AI Chip,Server ODM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,insufficient data,,,,,,
AI Chip,Server ODM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Server ODM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Server ODM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Server ODM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],insufficient data,,,,,,
AI Chip,Server ODM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Server ODM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
AI Chip,Server ODM,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Server ODM,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,Server ODM,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,insufficient data,,,,,,
